timestamp,open,high,low,close,volume
2024-01-03T15:45:00-05:00,1.89,1.89,1.89,1.89,0.0
2024-01-03T15:50:00-05:00,1.89,1.89,1.8,1.8,5747.0
2024-01-03T15:55:00-05:00,1.9101,1.9101,1.86,1.89,1928.0
2024-01-04T09:30:00-05:00,1.76,1.765,1.75,1.765,2841.0
2024-01-04T09:35:00-05:00,1.75,1.7519,1.75,1.7519,1475.0
2024-01-04T09:40:00-05:00,1.75,1.95,1.75,1.7901,17302.0
2024-01-04T09:50:00-05:00,1.9,1.91,1.8997,1.91,4798.0
2024-01-04T09:55:00-05:00,1.98,1.98,1.94,1.945,1988.0
2024-01-04T10:00:00-05:00,1.9103,1.9103,1.9101,1.9101,1055.0
2024-01-04T10:05:00-05:00,1.91,2.06,1.91,2.04,23583.0
2024-01-04T10:10:00-05:00,2.04,2.11,2.0,2.03,7726.0
2024-01-04T10:15:00-05:00,2.08,2.1,2.03,2.06,5557.0
2024-01-04T10:20:00-05:00,2.0863,2.09,2.03,2.04,12021.0
2024-01-04T10:25:00-05:00,2.04,2.09,1.99,2.09,3223.0
2024-01-04T10:30:00-05:00,2.03,2.03,2.03,2.03,221.0
2024-01-04T10:35:00-05:00,2.03,2.08,2.0,2.071,8972.0
2024-01-04T10:40:00-05:00,2.09,2.09,2.055,2.055,3423.0
2024-01-04T10:55:00-05:00,2.06,2.09,2.06,2.09,1376.0
2024-01-04T11:00:00-05:00,2.05,2.09,2.05,2.09,236.0
2024-01-04T11:05:00-05:00,2.09,2.11,2.07,2.11,19616.0
2024-01-04T11:10:00-05:00,2.085,2.19,2.085,2.16,16147.0
2024-01-04T11:15:00-05:00,2.1897,2.22,2.1495,2.21,14208.0
2024-01-04T11:20:00-05:00,2.24,2.28,2.18,2.18,12386.0
2024-01-04T11:25:00-05:00,2.18,2.18,2.1507,2.18,1567.0
2024-01-04T11:30:00-05:00,2.27,2.27,2.16,2.16,5126.0
2024-01-04T11:35:00-05:00,2.16,2.26,2.16,2.16,2682.0
2024-01-04T11:40:00-05:00,2.1715,2.21,2.1715,2.19,875.0
2024-01-04T11:45:00-05:00,2.18,2.2,2.1301,2.1301,1189.0
2024-01-04T11:55:00-05:00,2.1448,2.165,2.13,2.13,1204.0
2024-01-04T12:00:00-05:00,2.1032,2.1995,2.1032,2.1995,3687.0
2024-01-04T12:05:00-05:00,2.1414,2.1414,2.1414,2.1414,880.0
2024-01-04T12:10:00-05:00,2.14,2.2,2.107,2.107,2679.0
2024-01-04T12:15:00-05:00,2.12,2.2,2.12,2.122,2718.0
2024-01-04T12:20:00-05:00,2.1,2.15,2.1,2.1027,1412.0
2024-01-04T12:25:00-05:00,2.175,2.175,2.14,2.14,2305.0
2024-01-04T12:30:00-05:00,2.11,2.11,2.11,2.11,100.0
2024-01-04T12:40:00-05:00,2.11,2.21,2.11,2.21,2965.0
2024-01-04T12:45:00-05:00,2.14,2.26,2.14,2.26,18479.0
2024-01-04T12:55:00-05:00,2.17,2.25,2.17,2.24,870.0
2024-01-04T13:05:00-05:00,2.1696,2.24,2.1501,2.1501,545.0
2024-01-04T13:10:00-05:00,2.16,2.16,2.16,2.16,550.0
2024-01-04T13:20:00-05:00,2.2,2.2,2.1973,2.1973,1203.0
2024-01-04T13:25:00-05:00,2.2,2.2,2.2,2.2,1000.0
2024-01-04T13:30:00-05:00,2.2,2.25,2.2,2.25,1541.0
2024-01-04T13:35:00-05:00,2.25,2.25,2.25,2.25,3758.0
2024-01-04T13:40:00-05:00,2.2456,2.25,2.16,2.16,5531.0
2024-01-04T13:45:00-05:00,2.195,2.195,2.15,2.15,248.0
2024-01-04T13:50:00-05:00,2.2355,2.2355,2.2355,2.2355,210.0
2024-01-04T13:55:00-05:00,2.2,2.25,2.2,2.2499,13412.0
2024-01-04T14:00:00-05:00,2.195,2.195,2.195,2.195,225.0
2024-01-04T14:05:00-05:00,2.19,2.19,2.19,2.19,147.0
2024-01-04T14:20:00-05:00,2.16,2.23,2.11,2.23,6154.0
2024-01-04T14:30:00-05:00,2.23,2.23,2.17,2.17,1315.0
2024-01-04T14:50:00-05:00,2.2,2.2,2.2,2.2,500.0
2024-01-04T14:55:00-05:00,2.2,2.23,2.1,2.23,8223.0
2024-01-04T15:00:00-05:00,2.2,2.23,2.2,2.23,565.0
2024-01-04T15:10:00-05:00,2.18,2.18,2.1799,2.1799,1361.0
2024-01-04T15:15:00-05:00,2.0856,2.0856,2.0856,2.0856,1100.0
2024-01-04T15:20:00-05:00,2.0619,2.11,2.0619,2.07,1959.0
2024-01-04T15:45:00-05:00,2.2,2.2,2.1155,2.1155,762.0
2024-01-04T15:50:00-05:00,2.185,2.2,2.185,2.2,374.0
